시군명,구/읍면동명,기관명,시설구분명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84경도,WGS84위도
군포시,산본동,경기도 군포소방서,소방서,15870,경기도 군포시 산본동 1156번지,경기도 군포시 고산로 429,126.9271188,37.3525699
김포시,걸포동,경기도 김포소방서,소방서,10092,경기도 김포시 걸포동 1550-18번지,경기도 김포시 감암로 111,126.7085374,37.6415672
남양주시,평내동,경기도 남양주소방서,소방서,12224,경기도 남양주시 평내동 570번지,경기도 남양주시 평내로 25,127.2322419,37.6433204
동두천시,지행동,경기도 동두천소방서,소방서,11349,경기도 동두천시 지행동 717번지,경기도 동두천시 지행로 6,127.047603,37.8922634
부천시,중동,경기도 부천소방서,소방서,14612,경기도 부천시 중동 1218번지,경기도 부천시 신흥로 115,126.7780387,37.493267
성남시,분당구,경기도 분당소방서,소방서,13590,경기도 성남시 분당구 서현동 278번지,경기도 성남시 분당구 양현로 14,127.1194855,37.3860394
성남시,수정구,경기도 성남소방서,소방서,13323,경기도 성남시 수정구 수진동 4417번지,경기도 성남시 수정구 제일로 111,127.1335094,37.4366436
시흥시,정왕동,경기도 시흥소방서,소방서,15055,경기도 시흥시 정왕동 1800-1번지,경기도 시흥시 정왕신길로 206,126.7395336,37.3495629
안성시,도기동,경기도 안성소방서,소방서,17595,경기도 안성시 도기동 544-174번지,경기도 안성시 미양로 855,127.2557842,37.0006997
양주시,백석읍,경기도 양주소방서,소방서,11504,경기도 양주시 백석읍 오산리 513-1번지,경기도 양주시 백석읍 꿈나무로 156,126.9893999,37.7958705
여주시,월송동,경기도 여주소방서,소방서,12625,경기도 여주시 월송동 42번지,경기도 여주시 우암로 110,127.6258054,37.291668
